ratio,seed,analysis,variant,cost_rate,avail,n_prev,n_fail,fails_per_1000,false_rate,mean_rem,op,total_cost
2,8,policy_robustness,strict_rul_selected,0.06196913833128499,0.8083673694668285,66.0,334.0,22.804861395602895,0.0,12.126491518895936,14646.0,907.6
2,9,policy_robustness,strict_rul_selected,0.056673089274245345,0.8238967086464176,84.0,316.0,20.29543994861914,0.0,12.380200922673426,15570.0,882.4
2,10,policy_robustness,strict_rul_selected,0.05641156571136784,0.8244487712466453,83.0,317.0,20.23361205080743,0.0,10.82483258706749,15667.0,883.8
2,11,policy_robustness,strict_rul_selected,0.060530879018273975,0.8119787717968158,66.0,334.0,22.275576897425637,0.0,11.178635893498358,14994.0,907.6
2,12,policy_robustness,strict_rul_selected,0.06228606777098083,0.8076944429023483,67.0,333.0,22.88817100831672,0.0,12.91392305748038,14549.0,906.2
2,13,policy_robustness,strict_rul_selected,0.06263698863249609,0.8056484782012613,57.0,343.0,23.347627799332926,0.0,11.815113493247107,14691.0,920.2
2,14,policy_robustness,strict_rul_selected,0.05771105478650809,0.8207713234117459,80.0,320.0,20.796776499642554,0.0125,12.192580673474618,15387.0,888.0
2,0,policy_robustness,raw_wear_selected,0.057010369034584917,0.8227968841078904,82.0,318.0,20.48045340374831,0.0,13.35286946009714,15527.0,885.2
2,1,policy_robustness,raw_wear_selected,0.060728253540121374,0.8120687766947761,71.0,329.0,22.184760620364127,0.0,13.207507981267105,14830.0,900.6
2,2,policy_robustness,raw_wear_selected,0.060565678542289905,0.8133156381331563,78.0,322.0,21.892847429970086,0.0,12.315158505848538,14708.0,890.8
2,3,policy_robustness,raw_wear_selected,0.06438116560554118,0.8013118798004149,57.0,343.0,23.997761141817673,0.0,13.15945522049902,14293.0,920.2
2,4,policy_robustness,raw_wear_selected,0.06642903906306831,0.7968813402121616,62.0,338.0,24.58718265803448,0.0,13.135675775538408,13747.0,913.2
2,5,policy_robustness,raw_wear_selected,0.0607243840043086,0.8119602055318683,70.0,330.0,22.216238050356807,0.0,12.93110680875176,14854.0,902.0
2,6,policy_robustness,raw_wear_selected,0.060314897052886556,0.813464696223317,74.0,326.0,21.935136589960976,0.0,12.921809304870333,14862.0,896.4
2,7,policy_robustness,raw_wear_selected,0.06005123365242011,0.814607358594179,78.0,322.0,21.706889577996495,0.0,12.53488400920816,14834.0,890.8
2,8,policy_robustness,raw_wear_selected,0.06164515243065092,0.8100111234705228,73.0,327.0,22.45262290579511,0.0,12.370328629648327,14564.0,897.8
2,9,policy_robustness,raw_wear_selected,0.05634403047717441,0.8255770563462871,91.0,309.0,19.952217989281333,0.0,13.158875406870187,15487.0,872.6
2,10,policy_robustness,raw_wear_selected,0.056558641975308646,0.8244274809160306,86.0,314.0,20.190329218106996,0.0,11.941498561803922,15552.0,879.6
2,11,policy_robustness,raw_wear_selected,0.06049922626656799,0.8127631650899546,72.0,328.0,22.06822310435309,0.0,12.328981266033654,14863.0,899.2
2,12,policy_robustness,raw_wear_selected,0.06210140416407276,0.8088737201365188,73.0,327.0,22.61880058103341,0.0,13.656616076779027,14457.0,897.8
2,13,policy_robustness,raw_wear_selected,0.06255324996564518,0.8066733178139895,64.0,336.0,23.086436718427922,0.0,12.842814295113298,14554.0,910.4
