ratio,seed,analysis,variant,cost_rate,avail,n_prev,n_fail,fails_per_1000,false_rate,false_n,mean_rem,op,total_cost
5,14,gate_control,rul_base,0.11780536866199626,0.8235932590688375,114.0,286.0,19.837691614066728,0.16666666666666666,19.0,21.74542918014249,14417.0,1698.4
5,14,gate_control,shap_gate,0.12123081048468191,0.8193902773963196,89.0,311.0,20.84869611852249,0.07865168539325842,7.0,18.909283001019265,14917.0,1808.4
5,14,gate_control,strict_rul_gate,0.12010138428543576,0.8207713234117459,80.0,320.0,20.796776499642554,0.0125,1.0,12.192580673474618,15387.0,1848.0
5,14,gate_control,oracle_false30_gate,0.11811263318112633,0.8232144891217679,112.0,288.0,19.925280199252803,0.0,0.0,21.22436137505075,14454.0,1707.2
5,14,gate_control,random_action_matched,0.12214792299898683,0.8182722599900514,89.0,311.0,21.006416751097603,0.1797752808988764,16.0,21.861504381197605,14805.0,1808.4
10,0,gate_control,rul_base,0.2187930336168489,0.8230914546060674,102.0,298.0,20.11610638585122,0.11764705882352941,12.0,21.269526836249923,14814.0,3241.2
10,0,gate_control,shap_gate,0.22677278361276013,0.8191631486132636,77.0,323.0,21.07117228782047,0.07792207792207792,6.0,17.74028553358421,15329.0,3476.2
10,0,gate_control,strict_rul_gate,0.22448093017312976,0.8208610834338456,73.0,327.0,20.890564109116465,0.0,0.0,12.177768429751165,15653.0,3513.8
10,0,gate_control,oracle_false30_gate,0.21892510775862067,0.823059866962306,101.0,299.0,20.13739224137931,0.0,0.0,20.84761057275503,14848.0,3250.6
10,0,gate_control,random_action_matched,0.22963403355793366,0.8172983479105929,77.0,323.0,21.337032633108734,0.14285714285714285,11.0,21.981985546620937,15138.0,3476.2
10,1,gate_control,rul_base,0.23687056675328325,0.8120330767037354,88.0,312.0,21.911651099094037,0.09090909090909091,8.0,20.57154128469492,14239.0,3372.8
10,1,gate_control,shap_gate,0.24180155773789366,0.8099731197542378,67.0,333.0,22.553335590924483,0.014925373134328358,1.0,15.879280567192493,14765.0,3570.2
10,1,gate_control,strict_rul_gate,0.23884131656408883,0.8118618292417988,67.0,333.0,22.277227722772277,0.0,0.0,11.543886125702539,14948.0,3570.2
10,1,gate_control,oracle_false30_gate,0.23662129928441142,0.8121937321937321,88.0,312.0,21.888592675740142,0.0,0.0,20.39675013181635,14254.0,3372.8
10,1,gate_control,random_action_matched,0.2453914358375146,0.8076944429023483,67.0,333.0,22.88817100831672,0.1044776119402985,7.0,20.437673376248224,14549.0,3570.2
10,2,gate_control,rul_base,0.23920062584453453,0.8104789901435241,89.0,311.0,22.117914799800868,0.02247191011235955,2.0,20.073120317022003,14061.0,3363.4
10,2,gate_control,shap_gate,0.24277839029768467,0.8090990187332738,72.0,328.0,22.601984564498345,0.0,0.0,16.09208853674069,14512.0,3523.2
10,2,gate_control,strict_rul_gate,0.24070844318258636,0.8106197599868485,68.0,332.0,22.443047387277765,0.0,0.0,11.741247135919586,14793.0,3560.8
10,2,gate_control,oracle_false30_gate,0.23911559789563486,0.8105335945603319,89.0,311.0,22.110052609128395,0.0,0.0,20.02991351518685,14066.0,3363.4
10,2,gate_control,random_action_matched,0.24658454647256436,0.8066847335140018,72.0,328.0,22.956326987681972,0.027777777777777776,2.0,19.881750953724257,14288.0,3523.2
10,3,gate_control,rul_base,0.24994169096209912,0.804031879981247,82.0,318.0,23.17784256559767,0.08536585365853659,7.0,21.036589236437614,13720.0,3429.2
10,3,gate_control,shap_gate,0.25727997741548453,0.800644176979149,59.0,341.0,24.06662432070012,0.05084745762711865,3.0,17.92672410022602,14169.0,3645.4
10,3,gate_control,strict_rul_gate,0.2588603631809643,0.8000556637907041,51.0,349.0,24.281639184582204,0.0,0.0,11.920273889212094,14373.0,3720.6
10,3,gate_control,oracle_false30_gate,0.24963237970444782,0.8042269187986651,82.0,318.0,23.14915920506661,0.0,0.0,20.867766561950017,13737.0,3429.2
10,3,gate_control,random_action_matched,0.2588327179778472,0.7996820349761526,59.0,341.0,24.211871627378585,0.05084745762711865,3.0,19.772275135677667,14084.0,3645.4
10,4,gate_control,rul_base,0.26438106796116506,0.7953667953667953,76.0,324.0,24.575242718446603,0.05263157894736842,4.0,21.13111741839621,13184.0,3485.6
10,4,gate_control,shap_gate,0.2683012773454706,0.7939153747523021,58.0,342.0,25.106445455880195,0.034482758620689655,2.0,17.405792404042224,13622.0,3654.8
10,4,gate_control,strict_rul_gate,0.26438078703703705,0.7963133640552995,58.0,342.0,24.739583333333332,0.0,0.0,12.189003796659566,13824.0,3654.8
10,4,gate_control,oracle_false30_gate,0.2642007124990525,0.7954778414229726,76.0,324.0,24.558477980747366,0.0,0.0,20.999564077019183,13193.0,3485.6
10,4,gate_control,random_action_matched,0.27134902368401514,0.7920611584827991,58.0,342.0,25.391640062365433,0.034482758620689655,2.0,20.728976303913818,13469.0,3654.8
10,5,gate_control,rul_base,0.2342917696926881,0.8133655116933862,94.0,306.0,21.617802896503,0.06382978723404255,6.0,20.64310666964639,14155.0,3316.4
10,5,gate_control,shap_gate,0.24146274777853724,0.8099878197320342,71.0,329.0,22.48803827751196,0.014084507042253521,1.0,17.036645692271815,14630.0,3532.6
