ratio,pool_seed,model_seed,policy,param,cost_rate,avail,n_prev,n_fail,fails_per_1000,wear_fails,false30_rate,mean_rem_at_prev,op
10,0,2,risk_gated,0.5,0.25593860090588827,0.8034775576223211,14.0,386.0,24.28283844992451,81.0,0.5,41.94416714888234,15896.0
10,0,2,rul_gated,16,0.22709871300712092,0.8189502969343534,77.0,323.0,21.101456849807278,16.0,0.06493506493506493,17.729334450579092,15307.0
20,0,2,reactive,,0.5053929121725732,0.8022249690976514,0.0,400.0,24.65331278890601,90.0,0.0,0.0,16225.0
20,0,2,periodic,40,0.4104504183727969,0.8167805729242402,185.0,215.0,19.13833006943208,0.0,1.0,46.75314679621991,11234.0
20,0,2,risk,0.5,0.49177590817191674,0.8044173967787629,34.0,366.0,23.870084132263745,72.0,0.7941176470588235,50.520322472677044,15333.0
20,0,2,rul,16,0.4178144218422653,0.8236571110492624,104.0,296.0,20.004054875988377,2.0,0.125,21.254412705123528,14797.0
20,0,2,risk_gated,0.5,0.49876698540513337,0.8034775576223211,14.0,386.0,24.28283844992451,81.0,0.5,41.94416714888234,15896.0
20,0,2,rul_gated,16,0.4381132815051937,0.8189502969343534,77.0,323.0,21.101456849807278,16.0,0.06493506493506493,17.729334450579092,15307.0
2,0,3,reactive,,0.061633281972265024,0.8022249690976514,0.0,400.0,24.65331278890601,90.0,0.0,0.0,16225.0
2,0,3,periodic,60,0.05869014084507042,0.8232838589981447,119.0,281.0,19.788732394366196,0.0,0.29411764705882354,26.327286475699395,14200.0
2,0,3,risk,0.8,0.06174479975162993,0.8023215264285358,4.0,396.0,24.588637069233158,89.0,1.0,58.60994491049073,16105.0
2,0,3,rul,8,0.05736225763102323,0.8209613869188337,74.0,326.0,20.861329749792027,18.0,0.0,12.627615872226016,15627.0
2,0,3,risk_gated,0.8,0.061633281972265024,0.8022249690976514,0.0,400.0,24.65331278890601,90.0,0.0,0.0,16225.0
2,0,3,rul_gated,8,0.059024206697604414,0.8131565527791943,42.0,358.0,22.450771353317446,48.0,0.0,9.278119574492226,15946.0
5,0,3,reactive,,0.13559322033898305,0.8022249690976514,0.0,400.0,24.65331278890601,90.0,0.0,0.0,16225.0
5,0,3,periodic,60,0.11805633802816902,0.8232838589981447,119.0,281.0,19.788732394366196,0.0,0.29411764705882354,26.327286475699395,14200.0
5,0,3,risk,0.5,0.13323741007194245,0.8049910498052016,37.0,363.0,23.741007194244606,71.0,0.7837837837837838,50.40951051836321,15290.0
5,0,3,rul,16,0.1172698369749036,0.8242542514636186,106.0,294.0,19.88770885476561,1.0,0.14150943396226415,21.62117926634995,14783.0
5,0,3,risk_gated,0.5,0.13430675309962867,0.8037331175072082,15.0,385.0,24.230599786015482,81.0,0.5333333333333333,43.89473828014353,15889.0
5,0,3,rul_gated,16,0.12177440460612406,0.8187272337690165,77.0,323.0,21.133211201256216,18.0,0.09090909090909091,18.30391763191515,15284.0
10,0,3,reactive,,0.2588597842835131,0.8022249690976514,0.0,400.0,24.65331278890601,90.0,0.0,0.0,16225.0
10,0,3,periodic,40,0.21906711767847606,0.8167805729242402,185.0,215.0,19.13833006943208,0.0,1.0,46.75314679621991,11234.0
10,0,3,risk,0.5,0.25194244604316546,0.8049910498052016,37.0,363.0,23.741007194244606,71.0,0.7837837837837838,50.40951051836321,15290.0
10,0,3,rul,16,0.21670838124873165,0.8242542514636186,106.0,294.0,19.88770885476561,1.0,0.14150943396226415,21.62117926634995,14783.0
10,0,3,risk_gated,0.5,0.2554597520297061,0.8037331175072082,15.0,385.0,24.230599786015482,81.0,0.5333333333333333,43.89473828014353,15889.0
10,0,3,rul_gated,16,0.2274404606124051,0.8187272337690165,77.0,323.0,21.133211201256216,18.0,0.09090909090909091,18.30391763191515,15284.0
